component,cosine_score,EdgeAnnotation,EdgeScore,EdgeType,explained_intensity,interaction,mass_difference,name,node1,node2,property1,selected,shared interaction,shared name
-1,0.8942,,0.8942,Cosine,31906,-,-208.107,31906 (-) 36116,31906,36116,31906,FALSE,-,31906 (-) 36116
-1,0.9244,H4N3O:C2H6O2,0.9244,Cosine,31906,-,62.037,31906 (-) 31910,31906,31910,31906,FALSE,-,31906 (-) 31910
-1,0.9525,CH2O,0.9525,Cosine,28156,-,-30.011,31906 (-) 28156,28156,31906,28156,FALSE,-,31906 (-) 28156
-1,0.9107,,0.9107,Cosine,31906,-,-240.133,31906 (-) 41392,31906,41392,31906,FALSE,-,31906 (-) 41392
-1,0.9275,,0.9275,Cosine,31906,-,-314.17,31906 (-) 41034,31906,41034,31906,FALSE,-,31906 (-) 41034
-1,0.9427,,0.9427,Cosine,31906,-,-208.107,31906 (-) 41445,31906,41445,31906,FALSE,-,31906 (-) 41445
-1,0.8967,CH4O,0.8967,Cosine,31906,-,32.026,31906 (-) 31975,31906,31975,31906,FALSE,-,31906 (-) 31975
-1,0.9206,,0.9206,Cosine,31906,-,-284.16,31906 (-) 43269,31906,43269,31906,FALSE,-,31906 (-) 43269
-1,0.9375,H4N3O:C2H6O2,0.9375,Cosine,28190,-,-62.037,31906 (-) 28190,28190,31906,28190,FALSE,-,31906 (-) 28190
-1,1,,1,Cosine,1,-,0,54291 (-) 54291,54291,54291,1,FALSE,-,54291 (-) 54291
-1,1,,1,Cosine,1,-,0,7478 (-) 7478,7478,7478,1,FALSE,-,7478 (-) 7478
-1,0.8277,,0.8277,Cosine,29046,-,-220.132,29046 (-) 29341,29046,29341,29046,FALSE,-,29046 (-) 29341
-1,0.7626,H2N3:C2H4O,0.7626,Cosine,27427,-,-44.025,29046 (-) 27427,27427,29046,27427,FALSE,-,29046 (-) 27427
-1,0.8126,,0.8126,Cosine,29046,-,-264.159,29046 (-) 29669,29046,29669,29046,FALSE,-,29046 (-) 29669
-1,0.887,,0.887,Cosine,29046,-,-176.107,29046 (-) 29888,29046,29888,29046,FALSE,-,29046 (-) 29888
-1,0.9862,,0.9862,Cosine,33381,-,0.001,37174 (-) 33381,33381,37174,33381,FALSE,-,37174 (-) 33381
-1,0.941,,0.941,Cosine,37174,-,-0.001,37174 (-) 42499,37174,42499,37174,FALSE,-,37174 (-) 42499
-1,0.9841,,0.9841,Cosine,37174,-,-0.001,37174 (-) 39949,37174,39949,37174,FALSE,-,37174 (-) 39949
-1,0.9689,,0.9689,Cosine,37174,-,-0.001,37174 (-) 38473,37174,38473,37174,FALSE,-,37174 (-) 38473
-1,1,,1,Cosine,1,-,0,3615 (-) 3615,3615,3615,1,FALSE,-,3615 (-) 3615
-1,1,,1,Cosine,1,-,0,7183 (-) 7183,7183,7183,1,FALSE,-,7183 (-) 7183
-1,0.9405,,0.9405,Cosine,2342,-,0.034,2342 (-) 3424,2342,3424,2342,FALSE,-,2342 (-) 3424
-1,0.9812,,0.9812,Cosine,6843,-,0,7927 (-) 6843,6843,7927,6843,FALSE,-,7927 (-) 6843
-1,0.9661,,0.9661,Cosine,4831,-,-88.052,7927 (-) 4831,4831,7927,4831,FALSE,-,7927 (-) 4831
-1,0.9718,,0.9718,Cosine,7927,-,-132.079,7927 (-) 9830,7927,9830,7927,FALSE,-,7927 (-) 9830
-1,0.9657,H2N3:C2H4O,0.9657,Cosine,7927,-,-44.026,7927 (-) 8575,7927,8575,7927,FALSE,-,7927 (-) 8575
-1,0.964,,0.964,Cosine,7927,-,-176.105,7927 (-) 10695,7927,10695,7927,FALSE,-,7927 (-) 10695
-1,0.9768,,0.9768,Cosine,7335,-,0,8512 (-) 7335,7335,8512,7335,FALSE,-,8512 (-) 7335
-1,1,,1,Cosine,1,-,0,48100 (-) 48100,48100,48100,1,FALSE,-,48100 (-) 48100
-1,1,,1,Cosine,1,-,0,29977 (-) 29977,29977,29977,1,FALSE,-,29977 (-) 29977
-1,0.8102,CH2O,0.8102,Cosine,739,-,-30.011,1055 (-) 739,739,1055,739,FALSE,-,1055 (-) 739
-1,0.8217,CH2O,0.8217,Cosine,1055,-,30.011,1055 (-) 1862,1055,1862,1055,FALSE,-,1055 (-) 1862
-1,0.747,C3H6,0.747,Cosine,48557,-,-42.047,51290 (-) 48557,48557,51290,48557,FALSE,-,51290 (-) 48557
-1,0.8273,C,0.8273,Cosine,1455,-,-12.001,3660 (-) 1455,1455,3660,1455,FALSE,-,3660 (-) 1455
-1,0.8277,,0.8277,Cosine,1018,-,3.994,3660 (-) 1018,1018,3660,1018,FALSE,-,3660 (-) 1018
-1,0.9383,,0.9383,Cosine,24979,-,0,24979 (-) 30698,24979,30698,24979,FALSE,-,24979 (-) 30698
-1,0.9171,,0.9171,Cosine,5725,-,-0.012,7220 (-) 5725,5725,7220,5725,FALSE,-,7220 (-) 5725
-1,0.8196,,0.8196,Cosine,5899,-,0.021,7220 (-) 5899,5899,7220,5899,FALSE,-,7220 (-) 5899
-1,0.7375,,0.7375,Cosine,7043,-,0.021,7220 (-) 7043,7043,7220,7043,FALSE,-,7220 (-) 7043
-1,1,,1,Cosine,1,-,0,29841 (-) 29841,29841,29841,1,FALSE,-,29841 (-) 29841
-1,1,,1,Cosine,1,-,0,484 (-) 484,484,484,1,FALSE,-,484 (-) 484
-1,0.9502,H2N3:C2H4O:CH4N2,0.9502,Cosine,22248,-,-44.026,22995 (-) 22248,22248,22995,22248,FALSE,-,22995 (-) 22248
-1,0.8956,H2N3:C2H4O:CH4N2,0.8956,Cosine,22995,-,-44.026,22995 (-) 23517,22995,23517,22995,FALSE,-,22995 (-) 23517
-1,0.9213,,0.9213,Cosine,20772,-,-132.079,22995 (-) 20772,20772,22995,20772,FALSE,-,22995 (-) 20772
-1,0.8807,,0.8807,Cosine,21674,-,-88.981,22995 (-) 21674,21674,22995,21674,FALSE,-,22995 (-) 21674
